City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,erdenet,49.0333,104.0833,4.92,32,97,1.24,MN,1683408392
279,landeck,47.1301,10.5636,14.41,85,100,0.82,AT,1683408393
280,sur,22.5667,59.5289,28.54,58,0,5.06,OM,1683408393
281,rawson,-43.3002,-65.1023,18.72,44,5,4.05,AR,1683408394
282,kidal,18.4411,1.4078,35.38,8,42,4.56,ML,1683408394
283,sandikli,38.4647,30.2695,9.5,89,100,2.18,TR,1683408394
284,skowhegan,44.7651,-69.7192,24.31,49,75,4.14,US,1683408395
285,mizdah,31.4451,12.9801,21.78,26,4,3.39,LY,1683408395
286,tabuk,17.4189,121.4443,23.94,80,1,1.65,PH,1683408396
287,canutama,-6.5339,-64.3831,25.56,93,95,0.96,BR,1683408396
288,esfarayen,37.0765,57.5101,7.81,42,0,1.57,IR,1683408397
289,rampachodavaram,17.45,81.7667,26.1,85,85,0.65,IN,1683408397
290,reggane,26.7158,0.1714,35.23,6,100,1.39,DZ,1683408397
291,val-d'or,48.1002,-77.7828,19.05,27,75,2.57,CA,1683408398
292,ekibastuz,51.6667,75.3667,14.91,26,11,2.4,KZ,1683408398
293,sechenovo,55.2244,45.8906,1.91,67,1,4.32,RU,1683408399
294,fort morgan,40.2503,-103.8,23.36,16,0,4.12,US,1683408107
295,porto murtinho,-21.6989,-57.8825,24.22,73,100,3.62,BR,1683408400
296,wainwright,52.839,-110.8572,12.42,52,79,8.33,CA,1683408400
297,puerto cabezas,14.0351,-83.3888,30.98,74,20,6.17,NI,1683408400
298,st. john's,47.5649,-52.7093,4.32,91,100,5.14,CA,1683408195
299,mahajanga,-15.7167,46.3167,25.01,83,20,1.03,MG,1683408401
300,rethymno,35.3647,24.4714,17.89,77,12,5.66,GR,1683408402
301,dalbandin,28.8947,64.4101,23.71,11,0,1.32,PK,1683408402
302,cabo san lucas,22.8909,-109.9124,28.17,53,75,3.09,MX,1683408251
303,talara,-4.5772,-81.2719,29.42,65,0,1.54,PE,1683408403
304,palikir - national government center,6.9248,158.1611,27.41,94,100,0.0,FM,1683408404
305,argo,37.6333,22.7333,15.99,60,41,2.11,GR,1683408404
306,uturoa,-16.7333,-151.4333,27.75,77,100,8.48,PF,1683408404
307,sassandra,4.95,-6.0833,27.26,83,22,4.45,CI,1683408405
308,khorixas,-20.3667,14.9667,19.74,46,20,2.32,NA,1683408405
309,nishinoomote,30.7333,131.0,21.54,93,100,5.6,JP,1683408406
310,correntina,-13.3433,-44.6367,25.8,39,0,2.28,BR,1683408406
311,commentry,46.2921,2.7416,15.93,83,99,1.19,FR,1683408406
312,plettenberg bay,-34.0527,23.3716,15.29,79,1,3.05,ZA,1683408407
313,traralgon,-38.1833,146.5333,4.68,98,100,1.82,AU,1683408407
314,chela,34.069,104.4619,6.7,92,100,1.22,CN,1683408408
315,haenam,34.5711,126.5989,12.77,86,100,5.12,KR,1683408408
316,oranjemund,-28.55,16.4333,12.75,89,0,2.83,NA,1683408409
317,parkersburg,39.2667,-81.5615,25.86,28,0,3.6,US,1683408409
318,carauari,-4.8828,-66.8958,26.13,85,100,1.25,BR,1683408409
319,butterworth,5.3991,100.3638,27.03,89,20,2.06,MY,1683408410
320,rio grande,-32.035,-52.0986,19.06,99,100,3.93,BR,1683408410
321,kaifeng,34.7911,114.3483,14.58,45,100,4.18,CN,1683408411
322,shalqar,47.8333,59.6,15.98,23,100,2.22,KZ,1683408412
323,kampene,-3.6,26.6667,20.98,98,48,0.6,CD,1683408412
324,aasiaat,68.7098,-52.8699,-0.71,94,100,2.31,GL,1683408412
325,sierra grande,-41.606,-65.3557,22.72,25,0,4.47,AR,1683408413
326,villa gesell,-37.2639,-56.973,17.81,97,100,7.14,AR,1683408413
327,rawai,7.7797,98.3253,27.06,77,100,5.14,TH,1683408414
328,ust'-talovka,50.5493,81.85,10.25,61,0,1.43,KZ,1683408414
329,minot,48.2325,-101.2963,18.12,39,0,8.23,US,1683408415
330,mili,6.0815,171.735,28.23,79,34,5.79,MH,1683408415
331,dingwall,57.5953,-4.4272,12.73,87,100,0.6,GB,1683408416
332,astrakhan,46.3497,48.0408,12.93,93,0,2.0,RU,1683408142
333,dalandzadgad,43.5708,104.425,8.51,31,90,4.26,MN,1683408416
334,kankaanpaa,61.8,22.4167,1.42,66,83,1.75,FI,1683408417
335,namibe,-15.1961,12.1522,22.75,74,14,3.96,AO,1683408417
336,kargasok,59.0556,80.8572,11.1,85,67,3.59,RU,1683408418
337,yerofey pavlovich,53.9667,121.9667,1.82,60,8,0.86,RU,1683408418
338,nyandoma,61.669,40.1991,-2.34,80,100,3.06,RU,1683408418
339,dien bien phu,21.3833,103.0167,24.26,65,2,0.51,VN,1683408419
340,sao jose da coroa grande,-8.8978,-35.1478,25.65,75,1,2.89,BR,1683408419
341,coahuayana de hidalgo,18.7,-103.6583,33.65,43,0,3.63,MX,1683408420
342,solnechnyy,50.7214,136.6319,5.92,54,17,0.7,RU,1683408420
343,al kharijah,25.4514,30.5464,22.66,29,0,4.49,EG,1683408420
344,filadelfia,39.9523,-75.1638,23.52,36,40,3.6,US,1683408421
345,guatrache,-37.6678,-63.5302,13.35,57,100,2.14,AR,1683408421
346,saint-francois,46.4154,3.9054,16.69,72,0,1.03,FR,1683408422
347,penafiel,41.2084,-8.2829,16.12,89,37,0.43,PT,1683408422
348,gebeit,21.0667,36.3167,26.78,21,20,2.14,SD,1683408422
349,picos,-7.0769,-41.4669,28.79,53,83,3.29,BR,1683408234
350,khandyga,62.6667,135.6,1.93,94,100,4.23,RU,1683408424
351,popondetta,-8.7537,148.2534,23.49,94,7,1.19,PG,1683408424
352,panghyon-dong,39.8872,125.2414,11.01,87,100,1.35,KP,1683408425
353,vilyuchinsk,52.9306,158.4028,5.15,82,27,3.21,RU,1683408425
354,male,4.1748,73.5089,28.97,84,75,6.17,MV,1683408426
355,yokadouma,3.5167,15.05,21.97,92,99,1.69,CM,1683408426
356,juan griego,11.0817,-63.9655,29.07,65,98,10.8,VE,1683408427
357,quezon,7.7303,125.0989,22.8,95,98,0.91,PH,1683408427
358,tralee,52.2704,-9.7026,10.68,88,93,2.14,IE,1683408388
359,champerico,14.3,-91.9167,38.3,63,82,6.17,GT,1683408428
360,saint-philippe,-21.3585,55.7679,23.77,79,40,5.08,RE,1683408428
